,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.325,,0.1083,,0.13,,0.195,
CULTURE 1,0.33,,0.1083,,0.13,,0.2,
CULTURE 2,0.165,,0.1083,,0.095,,0.07,
