n_loss,i_loss,kid
0.08826533,0.1566227,2.2848673
0.09520269,0.15761279,2.8163443
0.094429284,0.16984183,2.399977
0.09033326,0.14677547,2.241524
0.15405163,0.24381146,0.9416577
0.14426565,0.2410916,0.9152964
0.15839562,0.24247965,1.0672449
0.14935458,0.24340808,0.75092345
0.0911304,0.1548122,2.7443836
0.087998,0.14587602,2.2161949
0.15603817,0.248825,0.8934669
0.15068452,0.23830381,0.9728556
0.1592787,0.24563824,1.0436167
0.14535533,0.23802312,0.82943565
0.16172057,0.26194432,1.0145946
0.14506486,0.24018283,0.88918847
0.09504722,0.16560343,2.7933977
0.09339788,0.15506782,2.8958852
0.1507771,0.22673163,0.93688345
0.1585499,0.25887656,0.8334988
0.088484846,0.14182964,2.419553
