"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08826533>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1566227>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.2848673>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09520269>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15761279>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.8163443>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.094429284>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16984183>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.399977>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09033326>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14677547>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.241524>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15405163>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24381146>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9416577>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14426565>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2410916>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9152964>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15839562>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24247965>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.0672449>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14935458>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24340808>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.75092345>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.0911304>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1548122>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.7443836>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.087998>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14587602>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.2161949>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15603817>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.248825>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.8934669>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15068452>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23830381>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9728556>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1592787>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24563824>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.0436167>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14535533>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23802312>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.82943565>}]"
