"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08044367>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13689287>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.079741>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08898812>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1437269>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.7970166>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08645325>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15853268>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.3052058>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08239317>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13129757>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.9783684>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15704131>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24727222>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9646088>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14662142>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24173284>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9034552>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15775514>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25253886>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.1328855>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15443091>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24073686>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.794826>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08211145>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1494536>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.55919>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.079007864>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13601258>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.9817424>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16209799>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25389716>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.942787>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15551841>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2490333>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.039673>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1606851>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25628057>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.0529269>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14452417>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24841143>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.88801646>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16554621>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26993108>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.0988966>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14744936>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24107781>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.94325393>}]"
