,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.5,,0.0167,,0.465,,0.035,
CULTURE 1,0.52,,0.0167,,0.485,,0.035,
CULTURE 2,0.53,,0.0167,,0.485,,0.045,
