,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.634,0.0088,0.16,0.0095,0.3615,0.002,0.2725,0.0068
CULTURE 1,0.424,0.0057,0.16,0.0095,0.2505,0.0027,0.1735,0.0031
CULTURE 2,0.694,0.0198,0.16,0.0095,0.3685,0.003,0.3255,0.0168
