"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08653897>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14690618>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.2746603>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.10851799>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17852229>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.1383755>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.102536336>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.19542055>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.8424861>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.0898354>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14754593>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.7008467>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17108253>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26371777>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7816203>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16175076>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.259368>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7296565>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15947428>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2605994>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7868819>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1715091>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2713534>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.90234137>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16223694>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25575888>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.56321734>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.10240463>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17620482>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.7003536>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.088457346>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15498021>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.390765>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16960475>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.27438536>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.0230323>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09540125>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16094975>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.81176>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.104620695>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18195261>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.9215615>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.090264514>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14704861>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.109842>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16109264>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26429334>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.5723154>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16712973>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25691128>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.6249523>}]"
