n_loss,i_loss,kid
0.08653897,0.14690618,2.2746603
0.10851799,0.17852229,3.1383755
0.102536336,0.19542055,2.8424861
0.0898354,0.14754593,2.7008467
0.17108253,0.26371777,0.7816203
0.16175076,0.259368,0.7296565
0.15947428,0.2605994,0.7868819
0.1715091,0.2713534,0.90234137
0.16223694,0.25575888,0.56321734
0.10240463,0.17620482,2.7003536
0.088457346,0.15498021,2.390765
0.16960475,0.27438536,1.0230323
0.09540125,0.16094975,2.81176
0.104620695,0.18195261,2.9215615
0.090264514,0.14704861,2.109842
0.16109264,0.26429334,0.5723154
0.16712973,0.25691128,0.6249523
0.16114971,0.2628346,0.58192056
0.15536651,0.26143384,0.5633486
0.16163519,0.26015797,0.6487544
0.16630788,0.25187552,0.5780527
