"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08227211>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14248483>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.2157197>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.10426192>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16980346>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.9916692>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.10134608>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18382958>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.905017>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.084568955>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14016604>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.68218>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18141682>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.28530023>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.78301895>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17350179>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26997346>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.6468483>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17425485>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2697822>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.763319>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18510385>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.28287125>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7929135>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17301968>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.277065>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.5687552>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09616188>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1683564>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.6346917>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08480861>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14534427>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.2178938>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.18899424>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2869901>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.0436664>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.092054635>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15853447>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.7337444>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09926901>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17148457>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.9281104>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.085225604>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13747711>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.8864726>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.17019191>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.28265887>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.5511084>}]"
