n_loss,i_loss,kid
0.07923664,0.13743646,2.2645884
0.09844815,0.16489601,3.0400105
0.0971901,0.17566977,2.816203
0.08112342,0.13683455,2.5614004
0.17298579,0.27101412,0.8398374
0.1675846,0.2596824,0.75515825
0.16627796,0.25909317,0.83560926
0.17821239,0.2730901,0.9240324
0.16638477,0.2593727,0.5917869
0.09215148,0.16508846,2.6056664
0.08077102,0.14268185,2.3028302
0.17832702,0.27160138,1.1009557
0.08778585,0.15150075,2.8106635
0.09593102,0.16728354,2.8260217
0.08162076,0.13351831,1.9699627
0.16467048,0.26679537,0.6057156
0.17113484,0.2629321,0.6552959
0.16306521,0.2700197,0.6142026
0.15884072,0.26623124,0.5798998
0.16342859,0.2658531,0.68476665
0.1682969,0.26083973,0.6076668
