,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.495,0.0,0.0133,0.0,0.265,0.0,0.23,0.0
CULTURE 1,0.5,0.0,0.0133,0.0,0.24,0.0,0.26,0.0
CULTURE 2,0.53,0.0,0.0133,0.0,0.27,0.0,0.26,0.0
