,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.3235,0.0154,0.0792,0.007,0.175,0.0072,0.1485,0.0082
CULTURE 1,0.2225,0.0133,0.0792,0.007,0.116,0.0031,0.1065,0.0102
CULTURE 2,0.359,0.0055,0.0792,0.007,0.161,0.0018,0.198,0.0037
