"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14507303>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23547864>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.6369849>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15451464>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22667848>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.8143123>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14748505>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23667188>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7619611>}]"
