82,18,53,47
89,11,65,35
90,10,77,23
96,4,61,39
97,3,80,20
95,5,77,23
81,19,63,37
93,7,63,37
86,14,57,43
87,13,72,28
91,9,70,30
93,7,62,38
93,7,68,32
97,3,84,16
