,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.2765,0.0039,0.0912,0.004,0.1255,0.0016,0.151,0.0023
CULTURE 1,0.3485,0.007,0.0912,0.004,0.238,0.0045,0.1105,0.0025
CULTURE 2,0.478,0.0049,0.0912,0.004,0.28,0.0018,0.198,0.0031
