,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.638,0.1258,0.0643,0.0884,0.2905,0.0672,0.3475,0.0586
CULTURE 1,0.521,0.0093,0.0643,0.0884,0.067,0.0059,0.454,0.0034
CULTURE 2,0.597,0.1395,0.0643,0.0884,0.4305,0.067,0.1665,0.0725
