,ERR_0,ERR_0_STD,ERR_1,ERR_1_STD,ERR_2,ERR_2_STD,ERR,ERR_STD,CIC,CIC_STD
NOAUG,21.65,1.811230398,12.75,2.30036229,31.05,2.431848862,21.81666667,0.865847191,9.066666667,1.687279935
ADV_CLSDIV,22.7,1.788854382,12.3,2.413503677,33,2.318404624,22.66666667,1.230401922,10.36666667,2.171149209
ADV_NOCLSDIV,20,2.828427125,17.25,3.181980515,30,0.707106781,22.41666667,0.11785113,5.916666667,2.239171474
