n_loss,i_loss,kid
0.08602029,0.15343368,1.3794664
0.085864775,0.14855024,2.2136152
0.087368675,0.14223194,2.1799407
0.092546925,0.15335354,1.6320572
0.15398335,0.25920326,0.59423566
0.16325031,0.2575053,0.6646252
0.15963963,0.25746638,1.1009715
0.1559456,0.24740876,0.6535379
0.16267516,0.25948325,0.7576088
0.15877123,0.24707311,0.70189995
0.08389629,0.13851392,1.13793
0.08541839,0.1521355,2.3155258
0.082498886,0.14972426,1.3216128
0.086600386,0.1487389,1.5692054
0.15234731,0.2566561,0.77080804
0.15767287,0.24573296,0.665873
0.1521551,0.23297012,0.6121637
0.15830605,0.24099812,0.72678643
0.088263385,0.1490941,2.351946
0.082069136,0.14616174,1.1315964
0.08926251,0.14626576,1.1807513
0.07993597,0.15293902,1.2982086
0.15447842,0.25323573,0.568273
0.1605717,0.24732837,0.85696536
