n_loss,i_loss,kid
0.08303205,0.14732505,1.2783537
0.08002801,0.13500027,2.1468086
0.08061003,0.12976012,2.0206354
0.09036455,0.1484902,1.5921674
0.15484694,0.25912324,0.6020924
0.16529569,0.26332623,0.692933
0.16085923,0.25917894,1.1620467
0.15695958,0.24637716,0.6779694
0.16773976,0.26279795,0.7808418
0.15846577,0.24929197,0.7313673
0.07985296,0.13453043,1.0724959
0.08023532,0.14055268,2.2554617
0.07916643,0.14311808,1.1674352
0.083453074,0.14251785,1.5733601
0.15315545,0.25906077,0.792968
0.15690167,0.2500824,0.6929827
0.15126961,0.23341392,0.63468933
0.15735774,0.2445513,0.75848824
0.08065876,0.14337495,2.2135127
0.0775457,0.13984588,1.0518875
0.0849386,0.1435148,1.1292396
0.0761219,0.14946273,1.2442139
0.1559087,0.25335824,0.5904774
0.1601099,0.2506012,0.8953354
