n_loss,i_loss,kid
0.08572775,0.1503919,1.2879335
0.08685259,0.15764277,3.046948
0.08850627,0.14456843,2.918307
0.08715315,0.1432918,2.2777724
0.14579338,0.23095296,0.44715652
0.13906525,0.23006034,0.8774098
0.14664437,0.22841866,0.510774
0.1321318,0.23206776,0.8468196
0.14333457,0.22635394,0.59196824
0.094388895,0.15629217,1.3280853
0.089885116,0.15068491,3.0540478
0.08756366,0.14899454,2.3664796
0.14263867,0.23296219,0.416049
0.14120674,0.22313179,1.0231339
0.14283921,0.23456681,0.6925996
0.13847058,0.22976817,0.46819508
0.08453301,0.14285311,1.8304416
0.13456602,0.2281697,1.0219772
0.13946488,0.22616209,0.5266273
0.093187615,0.15169892,2.2243176
0.14112842,0.21835211,0.99295205
0.14574409,0.23800544,0.4703931
0.08702585,0.1469822,3.0490716
0.0862292,0.14392675,1.4362577
0.084730946,0.16513555,1.5947894
0.13586359,0.22816882,1.0443201
0.1425339,0.24163975,0.525281
