n_loss,i_loss,kid
0.086626135,0.14968489,1.0565201
0.08329889,0.14883283,3.072022
0.08344724,0.13901743,2.9966617
0.0882733,0.14576353,2.2450523
0.14838697,0.23199123,0.4138549
0.14202766,0.23472777,0.9545959
0.14793943,0.23254944,0.48130125
0.1306339,0.2383176,0.90416706
0.14426398,0.2307313,0.58139914
0.09741966,0.15887818,1.1513216
0.086458534,0.1439952,3.1637266
0.08850907,0.145653,2.4260554
0.14292637,0.24054053,0.38794488
0.14185983,0.22556023,1.0616366
0.14525667,0.23734586,0.7171061
0.13964799,0.22763842,0.44234166
0.08416191,0.14173882,1.7842041
0.13419582,0.23227681,1.0436726
0.14060766,0.2259733,0.52165115
0.09308341,0.15264171,2.1462746
0.14098047,0.22249015,1.085036
0.14696923,0.24064294,0.45109433
0.08150546,0.14214192,3.285171
0.08824602,0.14712581,1.3376251
0.08442034,0.16937247,1.4732134
0.13631928,0.23358503,1.0524533
0.14620292,0.24054863,0.5232624
