n_loss,i_loss,kid
0.08413729,0.14539443,1.256048
0.08162338,0.14301369,3.092744
0.08195635,0.13356304,3.0163012
0.0856446,0.14056683,2.2975762
0.14710738,0.23227604,0.46086845
0.14083253,0.23130065,0.93549585
0.14732178,0.22880812,0.52559054
0.13197426,0.23291261,0.9106117
0.14381072,0.22660898,0.6201594
0.092979945,0.15381001,1.2819011
0.084652014,0.1433095,3.1841717
0.08623212,0.14220269,2.4357545
0.1413285,0.23525338,0.434128
0.14133619,0.2232401,1.0849777
0.14359784,0.23517539,0.73526996
0.13892685,0.22790113,0.4854538
0.08199822,0.13972023,1.8230686
0.13252936,0.23181628,1.1124732
0.14044385,0.2241458,0.5476374
0.09140462,0.14976847,2.2225258
0.14273183,0.21553637,1.0847435
0.14598784,0.23910213,0.48828056
0.079766504,0.1399107,3.1928787
0.08497709,0.14115487,1.4126782
0.08228952,0.16447781,1.562428
0.13556172,0.22930095,1.1248646
0.14337426,0.24102135,0.5538833
