,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.5865,0.0908,0.0203,0.0427,0.202,0.061,0.3845,0.0298
CULTURE 1,0.5575,0.0465,0.0203,0.0427,0.151,0.0246,0.4065,0.0219
CULTURE 2,0.5895,0.0372,0.0203,0.0427,0.3555,0.0232,0.234,0.014
