15,184,176,23
11,188,173,26
23,176,178,21
20,179,159,40
16,183,162,37
14,185,150,49
15,184,165,34
14,185,165,34
5,194,157,42
18,181,174,25
12,187,165,34
23,176,169,30
13,186,168,31
15,184,167,32
7,192,162,37
10,189,180,19
10,189,157,42
9,190,152,47
15,184,171,28
6,193,143,56
13,186,167,32
13,186,162,37
15,184,160,39
17,182,173,26
14,185,162,37
17,182,176,23
20,179,172,27
19,180,175,24
14,185,164,35
26,173,185,14
12,187,153,46
13,186,143,56
17,182,168,31
11,188,167,32
18,181,162,37
15,184,173,26
10,189,169,30
10,189,166,33
7,192,163,36
14,185,177,22
