185,14,18,181
183,16,27,172
186,13,30,169
181,18,34,165
185,14,34,165
186,13,41,158
190,9,32,167
177,22,17,182
190,9,38,161
185,14,21,178
183,16,37,162
181,18,23,176
185,14,40,159
191,8,31,168
191,8,27,172
183,16,15,184
183,16,34,165
189,10,32,167
186,13,21,178
181,18,35,164
186,13,34,165
179,20,28,171
182,17,29,170
176,23,16,183
184,15,39,160
184,15,29,170
185,14,30,169
182,17,28,171
186,13,28,171
184,15,24,175
178,21,38,161
188,11,47,152
184,15,31,168
181,18,28,171
167,32,30,169
180,19,28,171
178,21,28,171
190,9,39,160
192,7,37,162
186,13,24,175
