n_loss,i_loss,kid
0.09321867,0.15909278,2.4240735
0.12267928,0.22266231,2.9371948
0.16125455,0.2562783,0.7573696
0.13130563,0.19675998,2.969245
0.15447226,0.25514576,0.8911257
0.15578386,0.24929431,0.3240956
0.1645027,0.23764716,0.71034545
0.15729058,0.24685746,0.34409657
0.09639832,0.15310636,2.4733255
0.13017088,0.21087193,3.2624176
0.16189463,0.24107413,0.34811482
0.10187051,0.16045764,2.9719598
0.16056308,0.24235739,0.33396804
0.121327594,0.21147652,2.6144907
0.10586772,0.18368068,3.0699627
0.15469627,0.25027746,0.35306987
0.15294136,0.24715693,0.3680091
0.09831379,0.1723295,2.994603
0.09118033,0.16191761,2.297971
0.15716973,0.2535377,0.39574754
0.15298654,0.25540298,0.4159685
