n_loss,i_loss,kid
0.08938747,0.15550908,2.4258533
0.11733479,0.21056627,2.9460769
0.1622846,0.2612133,0.77197176
0.12147949,0.19684751,2.8512058
0.15531561,0.25579607,0.91141284
0.15453666,0.25522122,0.35022745
0.16621812,0.23853031,0.72893965
0.1597162,0.24545193,0.3801938
0.09313662,0.1493103,2.3440318
0.12375444,0.20949395,3.3326766
0.16423556,0.24253231,0.37374067
0.097727254,0.15576327,2.907991
0.1620839,0.2414964,0.36429852
0.11473728,0.20270425,2.4852734
0.10061266,0.17822151,2.8788114
0.1538434,0.2550403,0.38218418
0.15303269,0.25102204,0.4053429
0.093427405,0.16551842,2.8442578
0.08784846,0.15504849,2.2921586
0.16028382,0.25425524,0.4434107
0.15523998,0.2517388,0.45517507
