n_loss,i_loss,kid
0.097225346,0.16276382,2.5113068
0.12843499,0.22396097,2.9521418
0.16803525,0.2593633,0.7074696
0.1339429,0.21389621,3.0576177
0.15977964,0.26433155,0.77048564
0.15922104,0.2583979,0.23857403
0.1689667,0.24512932,0.639858
0.16326901,0.25615963,0.26921213
0.09974795,0.16396342,2.3455682
0.13271734,0.22538966,3.5427961
0.16754374,0.24984032,0.2828529
0.107546434,0.16619179,2.9498062
0.16616832,0.24430247,0.23174906
0.12601039,0.22282174,2.5543814
0.11248861,0.18417573,2.9754782
0.15945019,0.25824645,0.30528963
0.1598985,0.25669205,0.2808419
0.10142836,0.17519416,2.8005092
0.095082685,0.16524924,2.3068564
0.16698585,0.25593188,0.3059941
0.15570055,0.2563722,0.33747113
