,ERR_0,ERR_0_STD,ERR_1,ERR_1_STD,ERR_2,ERR_2_STD,ERR,ERR_STD,CIC,CIC_STD
NOAUG,17,2.34520788,16.8,2.637338726,12.85,1.826502426,15.55,0.978314247,2.9,1.399294355
ADV_CLSDIV,20.3,1.643167673,17.8,3.033150178,11.4,1.710263138,16.5,1.509230856,5.1,1.115546702
ADV_NOCLSDIV,21.5,3.724916106,19.2,3.701351105,14.1,2.302172887,18.26666667,2.562008761,4.166666667,2.710575995
