62,137,113,86
31,168,82,117
182,17,141,58
67,132,44,155
128,71,146,53
30,169,108,91
101,98,130,69
85,114,102,97
25,174,51,148
67,132,144,55
30,169,86,113
63,136,94,105
130,69,111,88
146,53,148,51
91,108,100,99
17,182,74,125
36,163,58,141
14,185,18,181
27,172,79,120
31,168,55,144
17,182,65,134
21,178,67,132
24,175,70,129
20,179,64,135
39,160,74,125
46,153,42,157
92,107,124,75
54,145,100,99
61,138,145,54
79,120,95,104
61,138,76,123
41,158,74,125
31,168,105,94
16,183,122,77
20,179,58,141
30,169,69,130
58,141,87,112
33,166,41,158
41,158,77,122
21,178,41,158
