,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.793,0.0493,0.101,0.0537,0.397,0.0192,0.396,0.0301
CULTURE 1,0.5275,0.049,0.101,0.0537,0.1855,0.0231,0.342,0.0259
CULTURE 2,0.565,0.1119,0.101,0.0537,0.2635,0.0481,0.3015,0.0638
