,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.15,,0.075,,0.045,,0.105,
CULTURE 1,0.185,,0.075,,0.09,,0.095,
CULTURE 2,0.34,,0.075,,0.235,,0.105,
