--- LATEX FORMAT (Percentage) ---
Prec C0 & Prec C1 & Prec C2 & Rec C0 & Rec C1 & Rec C2 & Acc \\
84.2 \pm 3.3 & 50.5 \pm 2.4 & 87.9 \pm 4.0 & 36.9 \pm 5.7 & 96.0 \pm 1.6 & 57.2 \pm 5.4 & 63.4 \pm 2.6 \\

--- RAW METRICS ---
Metric,Mean,Std
Accuracy,63.375,2.645423196558325
Precision_C0,84.2410480892895,3.336949116173414
Recall_C0,36.875,5.660995937112126
Precision_C1,50.476157374849166,2.366343164337711
Recall_C1,96.0,1.6007810593582121
Precision_C2,87.88792549171674,4.0484706166432725
Recall_C2,57.25,5.390964663211956
