,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.7405,0.0056,0.0837,0.0036,0.3505,0.0034,0.39,0.0022
CULTURE 1,0.6465,0.0038,0.0837,0.0036,0.3275,0.0017,0.319,0.0021
CULTURE 2,0.8035,0.0053,0.0837,0.0036,0.413,0.0016,0.3905,0.0037
