,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.6865,0.0736,0.0047,0.0484,0.4505,0.0173,0.236,0.0563
CULTURE 1,0.6795,0.067,0.0047,0.0484,0.4515,0.0154,0.228,0.0516
CULTURE 2,0.6865,0.0717,0.0047,0.0484,0.452,0.0178,0.2345,0.0539
