,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.4005,0.0069,0.1243,0.0051,0.193,0.0049,0.2075,0.002
CULTURE 1,0.2765,0.0105,0.1243,0.0051,0.1355,0.0051,0.141,0.0053
CULTURE 2,0.5255,0.0084,0.1243,0.0051,0.24,0.0031,0.2855,0.0053
