,ERR_0,ERR_0_STD,ERR_1,ERR_1_STD,ERR_2,ERR_2_STD,ERR,ERR_STD,CIC,CIC_STD
NOAUG,17.85,2.02827239,15.9,2.633122354,29.65,3.697221179,21.13333333,1.835520581,5.583333333,1.30585103
ADV_CLSDIV,16.25,2.474873734,15,2.828427125,28.25,2.474873734,19.83333333,0.942809042,6.083333333,0.11785113
ADV_NOCLSDIV,18.25,1.767766953,14,2.121320344,27.25,3.889087297,19.83333333,2.592724864,5.833333333,0.471404521
