,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.26,,0.055,,0.07,,0.19,
CULTURE 1,0.19,,0.055,,0.115,,0.075,
CULTURE 2,0.285,,0.055,,0.135,,0.15,
