,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.4355,0.0288,0.0212,0.0181,0.151,0.0174,0.2845,0.0114
CULTURE 1,0.4255,0.0194,0.0212,0.0181,0.1465,0.0089,0.279,0.0106
CULTURE 2,0.479,0.0257,0.0212,0.0181,0.193,0.0103,0.286,0.0153
