185,14,29,170
178,21,17,182
182,17,23,176
96,103,9,190
175,24,12,187
182,17,20,179
173,26,26,173
184,15,25,174
182,17,22,177
187,12,24,175
191,8,33,166
179,20,15,184
184,15,23,176
185,14,20,179
177,22,19,180
180,19,22,177
182,17,21,178
184,15,21,178
181,18,18,181
184,15,30,169
187,12,23,176
181,18,24,175
181,18,27,172
186,13,30,169
177,22,14,185
180,19,37,162
184,15,37,162
189,10,27,172
190,9,47,152
180,19,33,166
182,17,22,177
165,34,17,182
178,21,22,177
187,12,21,178
182,17,20,179
190,9,20,179
184,15,21,178
187,12,26,173
