150,49,61,138
164,35,69,130
185,14,78,121
179,20,109,90
180,19,78,121
173,26,89,110
159,40,50,149
100,99,25,174
165,34,69,130
174,25,60,139
169,30,92,107
180,19,82,117
164,35,67,132
165,34,47,152
165,34,83,116
168,31,72,127
183,16,73,126
150,49,76,123
165,34,45,154
146,53,46,153
183,16,90,109
91,108,16,183
163,36,60,139
172,27,86,113
168,31,81,118
167,32,42,157
97,102,15,184
158,41,57,142
161,38,63,136
160,39,94,105
151,48,70,129
179,20,61,138
178,21,86,113
152,47,19,180
178,21,51,148
129,70,51,148
182,17,92,107
152,47,63,136
153,46,76,123
171,28,60,139
