,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.52,0.0,0.035,0.0,0.43,0.0,0.09,0.0
CULTURE 1,0.485,0.0,0.035,0.0,0.1,0.0,0.385,0.0
CULTURE 2,0.45,0.0,0.035,0.0,0.17,0.0,0.28,0.0
