n_loss,i_loss,kid
0.088882096,0.15929902,2.7980595
0.14500959,0.23828888,0.56524324
0.14474384,0.23870008,0.3816383
0.1470916,0.2284887,0.84807616
0.1456875,0.23011641,0.35516754
0.09069171,0.15170826,2.6557121
0.124857396,0.19692154,2.9962714
0.1482087,0.22750488,0.40221295
0.09493778,0.14906548,2.6452234
0.150188,0.21854578,0.64787513
0.12980482,0.23543414,2.930598
0.09835825,0.15685128,2.8988438
0.14525078,0.24021694,0.42624387
0.14379497,0.2405411,0.38905844
0.08697766,0.15195489,2.3588731
0.094470516,0.16335587,2.8988378
0.14571062,0.22370635,0.37954748
0.13853009,0.2533813,0.34850565
