n_loss,i_loss,kid
0.09347824,0.16265163,2.8614058
0.15009776,0.2395974,0.52682626
0.15109782,0.23818283,0.27945155
0.15385008,0.22378619,0.79208297
0.14979969,0.23258288,0.29085034
0.094996445,0.15731314,2.6885326
0.13103232,0.2089606,2.9885783
0.15092395,0.22556053,0.35272783
0.10020806,0.15004125,2.3870025
0.15248391,0.22146824,0.5517693
0.13561437,0.25112727,2.6692898
0.10308534,0.1648757,2.7297714
0.14850289,0.2401898,0.31261516
0.14449221,0.2484125,0.32492906
0.09136394,0.15752666,2.1696672
0.09772519,0.17293504,2.878611
0.14786921,0.23050807,0.29453158
0.14487796,0.24210605,0.315152
