n_loss,i_loss,kid
0.08732671,0.1532226,2.9078765
0.14640339,0.23840293,0.5901666
0.14842449,0.23646323,0.42190576
0.14864455,0.23022312,0.86222476
0.14888857,0.22992545,0.39578137
0.08826041,0.14736472,2.7120204
0.1212006,0.188106,3.0433114
0.15050846,0.225522,0.45120868
0.09390956,0.13875616,2.6819203
0.15146755,0.21842258,0.66884136
0.124843985,0.23105638,2.949673
0.09466257,0.15544496,2.8069239
0.14610901,0.24054985,0.46812254
0.14478622,0.24286161,0.4250819
0.08491464,0.14922135,2.3315384
0.0910727,0.1612492,3.004019
0.14506118,0.22903414,0.4202524
0.13947025,0.2506607,0.39099056
