,ERR_0,ERR_0_STD,ERR_1,ERR_1_STD,ERR_2,ERR_2_STD,ERR,ERR_STD,CIC,CIC_STD
NOAUG,15.25,1.495363204,12.1,2.011080417,17.65,1.901023116,15,0.885409858,2.9,1.338416237
ADV_CLSDIV,18.9,5.054700782,13.8,3.290136775,20.4,2.607680962,17.7,1.962849403,4.9,2.668228709
ADV_NOCLSDIV,15.4,3.45325933,12.5,3.020761493,18.1,4.967393683,15.33333333,2.771381525,3.133333333,3.434708462
