138,61,114,85
162,37,50,149
152,47,33,166
143,56,70,129
146,53,120,79
170,29,130,69
154,45,53,146
166,33,52,147
136,63,113,86
152,47,115,84
156,43,45,154
142,57,111,88
112,87,43,156
143,56,79,120
165,34,83,116
155,44,38,161
158,41,91,108
151,48,81,118
155,44,49,150
159,40,65,134
147,52,75,124
163,36,52,147
157,42,101,98
158,41,94,105
151,48,82,117
125,74,52,147
124,75,61,138
126,73,87,112
156,43,101,98
106,93,24,175
164,35,47,152
149,50,92,107
143,56,62,137
158,41,115,84
145,54,73,126
134,65,46,153
141,58,52,147
152,47,61,138
155,44,99,100
151,48,69,130
