,ERR_0,ERR_0_STD,ERR_1,ERR_1_STD,ERR_2,ERR_2_STD,ERR,ERR_STD,CIC,CIC_STD
NOAUG,17.875,3.182497364,12.8,2.662606558,19.975,3.24635423,16.88333333,1.980976781,4.133333333,2.125176291
ADV_CLSDIV,18.3,3.510697936,13.4,2.133072901,21.4,2.01246118,17.7,1.930745394,4.3,1.613312672
ADV_NOCLSDIV,17.5,2.150581317,12.1,2.607680962,21.4,5.20096145,17,2.400810048,4.9,2.445517441
