,ERR_0,ERR_0_STD,ERR_1,ERR_1_STD,ERR_2,ERR_2_STD,ERR,ERR_STD,CIC,CIC_STD
NOAUG,12.925,2.184123334,14.975,2.793201333,18.15,2.134306247,15.35,1.055340083,3.075,1.857870094
ADV_CLSDIV,12.4,2.133072901,14.6,1.981161276,22.5,3.409545424,16.5,1.844661968,4.1,1.511989124
ADV_NOCLSDIV,10.83333333,1.527525232,13.83333333,0.763762616,19.83333333,1.607275127,14.83333333,0.166666667,4,1.364225462
