,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.31,,0.0433,,0.17,,0.14,
CULTURE 1,0.41,,0.0433,,0.32,,0.09,
CULTURE 2,0.295,,0.0433,,0.105,,0.19,
