,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.255,,0.0417,,0.095,,0.16,
CULTURE 1,0.305,,0.0417,,0.205,,0.1,
CULTURE 2,0.33,,0.0417,,0.18,,0.15,
