"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14765395>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2602493>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.54090893>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14776735>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25072327>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.58887166>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14612809>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26184824>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.70952636>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15008356>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25170228>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.74441636>}]"
