,ERR,ERR std,CIC,CIC std,FN,FN std,FP,FP std
CULTURE 0,0.93,0.0,0.08,0.0,0.465,0.0,0.465,0.0
CULTURE 1,0.83,0.0,0.08,0.0,0.425,0.0,0.405,0.0
CULTURE 2,0.76,0.0,0.08,0.0,0.325,0.0,0.435,0.0
